tweet_id,sentiment,author,content
1956982605,sadness,Diyeni,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;
1956983160,sadness,crittyjoy,@Pokinatcha  in all honesty...pain   blech.
1956983171,sadness,paulyum,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...
1956983467,neutral,njc87,At home alone with not much to do
1956983509,worry,heyitsmisti,@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.
1956983690,sadness,Trishalove,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol
1956983851,worry,sweetkisses277,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin
1956983874,happiness,joia,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards."
1956983931,neutral,MunkyMunch,I cant give @jertronic any bday nudges.
1956984185,worry,HarryLyme,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him'
1956984205,neutral,chicabajoelsol,Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.
1956984559,neutral,Marielii,says I miss plurking.  http://plurk.com/p/wxion
1956984864,worry,Amantou,"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water"
1956984894,neutral,Chai_Bo,I miss Voobys!
1956985129,neutral,Cookphotos,@Dancing_Monk Neither are ELP!!
1956985535,happiness,quarrygirl,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?"
1956985612,worry,juliehuang,is sad that shin ae got married...and it wasn't to alex
1956985758,worry,jazz_angela,"@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste."
1956985764,sadness,Samm_xo,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?
1956985973,neutral,ssabz,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.
1956986211,sadness,metaphysical1,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go."
1956986359,worry,bittenbyte,"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now.."
1956986767,sadness,AshLaws,@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia
1956987381,worry,supkeke,fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw
1956987600,hate,naterkane,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code
1956987828,worry,palomalopes24,@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you
1956987904,worry,creativevixen86,I can't sleep...I keep thinking about the puppy I played with today
1956987950,worry,smiles4dayyz,.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh
1956988145,neutral,padfootly,@lepetitagneau what's going on sweetheart?
1956988218,neutral,callatya,"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows"
1956988223,worry,kabilan,"Last one month due to summer, strawberry is not availble in the Chennai markets!"
1956988477,neutral,enlightenthem,@willxxmobb work at 6am. Gotta go to bed soon
1956989093,love,Angela_Grace,@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha
1956989514,sadness,yellowduckx,@sweeetnspicy hiii im on my ipod...i cant fall asleep
1956989526,sadness,KaKuBby,dont wanna work 11-830 tomorrow  but i get paid
1956989560,sadness,benchidol,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux
1956989561,neutral,outrAjusCharmer,PrinceCharming
1956989601,hate,M0anique,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
1956989914,worry,Fowl2,First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  )
1956990288,hate,MissPassion,@mrgenius23 You win ... SIGH Rakeem
1956990413,neutral,Wendywitwoo,Oh is that time for real?
1956990568,sadness,sarah_walter,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either
1956990729,worry,marpizza,Oh no one minute too late! Oh well
1956991009,hate,rdyfrde,"@soviet_star Damn, that sucks"
1956991673,sadness,M0anique,@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
1956991704,hate,Tweetyangie,@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up
1956991723,worry,briwyatt,ahh! big scary bug flying around my room!!!!!
1956992030,sadness,mafiaman8108,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!"
1956992144,worry,Margotkay,is up with a nasty cough i cant be sick i have a huge weekend ahead of me
1956992349,neutral,jarekpastor,@justamedicine  That was stone cold   Crazy....  ?
1956993007,boredom,villa_ld,i'm so tired
1956993080,neutral,cheiyinkeithsui,shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo
1956993206,neutral,dashdragan,@melbournegirl I'm sure some1 will cum out and play. I'm workin through til midnight.
1956994067,neutral,lockerhaxor,@thecreativeone I second that. I wish it rained more where I am
1956995196,sadness,jnvelasquez912,@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!
1956995505,neutral,twakatovsrocks,damn it were is Eric or anyone else when you need your hair to be played with
1956995679,neutral,jmil1733,I'm feel deflated. Ugh. No more dog.
1956995762,sadness,foxtail84,Allergies suck ducks nuts.     &lt;=====8@8=====&gt;
1956995852,neutral,ErikaAlexxis,Well it almost was a good day... Guess I just retry tomorrow
1956996081,hate,snursalim,@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku
1956996385,love,votech,@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...
1956996470,worry,ohmygoshnina,"@poinktoinkdoink He died.  Wait, what about Magic Jack? I just read it."
1956996673,hate,Merekdavis,@britblackbird  youstinkatrespondingtotexts!
1956996730,sadness,Rowch,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54
1956996765,happiness,rarmendariz,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho."
1956996776,sadness,KitaCupcake,Is miserable  i feel like im gona cry  sux!
1956997143,neutral,louiethecat,@megturney well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.
1956997352,worry,1azylizzie,$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one
1956997619,neutral,kudosbeauty,"claire @breakfastnt love the show, got into the office @ 5am and no radio"
1956998370,love,rockinchick11,Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.
1956998532,sadness,katienaas,*sigh* I'm going to bed... I just don't feel right anymore...
1956998538,neutral,jeannicole,What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.
1956998698,neutral,FoOie,@jwillock EpiCentre Wheelock Place - tourists only..
1956998704,sadness,sillynic,Now I am depressed after watching so you think you can dance
1957000040,sadness,minauderie,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh"
1957000077,neutral,danzjoe,miss 16'th
1957000152,neutral,RoxieDax,"@TheHarvardian I know. But like I said, I have no idea how long it takes for them to investigate this stuff."
1957000290,worry,Ohtybaby,"I cant sleep, but im too sore to move"
1957000314,neutral,Phenikone,@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby
1957000336,empty,Gen22,@softtouchme just answered you- never learned how to write in French- just basic stuff-
1957000372,neutral,cv70,what is it with chocolates? i just can never say no
1957000788,worry,zpavic,Achieving a new appreciation on how a xml build script can really be painful and cumbersome
1957001049,neutral,amy__xx,@ether_radio i'm too awake now  ill have a nap this afternoon
1957001370,worry,katlovesjoelk,@omfgiselle i cant do anything
1957001496,neutral,miss_sammi,still needs another 6 hours of sleep
1957001506,relief,benmfowler,I'm at work
1957001854,fun,Samiijoo,RIP leonardo. You were a great mini fiddler crab
