Store Location,Store Number,Customer ID,Customer age,Gender,Date Joined,Most Recent Purchase,Electronics,Furniture,Garden,Groceries,Clothing,Toys,Departments Shopped,Number of Items Purchased,Total Amount of Purchases,
Brisbane,81,SSMM55047,39,Female,9/08/2010,13/07/2012,37,734,1051,1670,304,310,6,111,4106,
Brisbane,74,SSMM55048,57,Female,9/08/2010,9/07/2012,4427,4063,4684,3400,801,2863,6,123,20238,
Perth,3,SSMM55049,46,Female,11/08/2010,5/07/2012,835,1243,637,4342,874,492,6,135,8423,
Brisbane,67,SSMM55050,48,Female,12/08/2010,3/07/2012,1482,3221,4182,2311,271,0,5,102,11467,
Sydney,35,SSMM55051,41,Female,14/08/2010,15/06/2012,238,6170,248,671,137,0,5,177,7464,
Melbourne,59,SSMM55052,59,Male,15/08/2010,13/07/2012,747,1033,1001,2910,622,929,6,35,7242,
Sydney,25,SSMM55053,70,Female,15/08/2010,11/07/2012,1934,1158,3271,3846,669,2050,6,9,12928,
Melbourne,55,SSMM55054,52,Female,15/08/2010,7/07/2012,747,3764,2785,204,42,0,5,199,7542,
Perth,6,SSMM55055,56,Female,15/08/2010,7/07/2012,14255,3915,1475,3667,626,2263,6,182,26201,
Perth,18,SSMM55056,62,Male,15/08/2010,6/07/2012,1686,3482,590,863,22,3968,6,89,10611,
Sydney,41,SSMM55057,62,Male,15/08/2010,6/07/2012,1887,3680,2172,1337,166,1362,6,59,10604,
Melbourne,47,SSMM55058,73,Male,15/08/2010,3/07/2012,2939,3636,1249,951,266,59,6,297,9100,
Sydney,40,SSMM55059,62,Male,15/08/2010,30/06/2012,2829,4763,7190,5695,1637,2251,6,64,24365,
Melbourne,54,SSMM55060,49,Female,15/08/2010,28/06/2012,3086,2508,2047,2141,416,405,6,123,10603,
Melbourne,60,SSMM55061,62,Female,15/08/2010,25/06/2012,2565,3070,1949,1799,739,1089,6,161,11211,
Brisbane,78,SSMM55062,67,Female,15/08/2010,21/06/2012,3463,2116,0,3410,210,0,4,192,9199,
Perth,14,SSMM55063,34,Male,15/08/2010,18/06/2012,307,1136,94,423,161,0,5,193,2121,
Brisbane,78,SSMM55064,43,Female,15/08/2010,19/05/2012,0,1416,653,2398,804,373,5,68,5644,
Melbourne,58,SSMM55065,53,Female,15/08/2010,6/05/2012,558,116,1494,671,152,0,5,65,2991,
Melbourne,50,SSMM55066,65,Male,15/08/2010,16/04/2012,0,153,0,828,13,2031,4,112,3025,
Brisbane,66,SSMM55067,17,Female,15/08/2010,15/10/2011,0,0,0,737,13,0,2,10,750,
Sydney,26,SSMM55068,73,Female,15/08/2010,7/08/2011,436,0,0,0,0,0,1,10,436,
Brisbane,80,SSMM55069,49,Female,16/08/2010,12/07/2012,1252,6999,2398,3884,787,1485,6,91,16805,
Perth,7,SSMM55070,30,Female,16/08/2010,11/07/2012,1846,379,0,464,173,0,4,24,2862,
Perth,16,SSMM55071,53,Male,16/08/2010,11/07/2012,1905,1070,433,2656,28,0,5,101,6092,
Perth,4,SSMM55072,47,Female,16/08/2010,7/07/2012,3510,3215,12446,5755,2822,2376,6,73,30124,
Brisbane,68,SSMM55073,59,Female,16/08/2010,6/07/2012,7256,2681,2468,1099,516,3733,6,147,17753,
Perth,16,SSMM55074,70,Female,16/08/2010,3/07/2012,1949,2364,656,690,330,401,6,196,6390,
Melbourne,46,SSMM55075,65,Female,16/08/2010,1/07/2012,756,803,1083,1237,431,4295,6,281,8605,
Melbourne,46,SSMM55076,54,Female,16/08/2010,1/07/2012,1780,6308,257,317,32,3978,6,218,12672,
Sydney,41,SSMM55077,30,Female,16/08/2010,30/06/2012,803,4066,1434,1563,326,285,6,136,8477,
Melbourne,48,SSMM55078,69,Female,16/08/2010,29/06/2012,4867,3730,2125,2405,966,2521,6,187,16614,
Melbourne,55,SSMM55079,70,Female,16/08/2010,29/06/2012,916,2480,301,1767,172,0,5,70,5636,
Brisbane,74,SSMM55080,49,Female,16/08/2010,30/05/2012,69,1516,436,1513,309,1212,6,68,5055,
Melbourne,58,SSMM55081,65,Male,16/08/2010,16/05/2012,467,0,6986,244,116,0,4,128,7813,
Melbourne,52,SSMM55082,67,Male,17/08/2010,13/07/2012,1777,2552,2464,1321,329,0,5,196,8443,
Brisbane,70,SSMM55083,45,Female,17/08/2010,9/07/2012,138,571,2179,3246,1327,0,5,101,7461,
Sydney,37,SSMM55084,61,Female,17/08/2010,5/07/2012,8342,1397,2307,43,12,0,5,225,12101,
Perth,3,SSMM55085,62,Female,17/08/2010,1/07/2012,1171,2606,3683,2587,788,1202,6,245,12037,
Sydney,34,SSMM55086,58,Female,17/08/2010,25/06/2012,618,850,1814,954,171,543,6,296,4950,
Melbourne,54,SSMM55087,37,Female,17/08/2010,12/06/2012,0,4904,3249,2135,309,0,4,32,10597,
Perth,19,SSMM55088,23,Male,17/08/2010,18/04/2012,0,565,430,84,20,0,4,96,1099,
Brisbane,70,SSMM55089,59,Male,18/08/2010,3/07/2012,665,1029,8223,496,119,872,6,30,11404,
Sydney,32,SSMM55090,67,Female,18/08/2010,3/07/2012,2128,2019,2059,3670,1374,1133,6,23,12383,
Perth,14,SSMM55091,58,Male,18/08/2010,22/06/2012,6882,7595,9934,756,315,8892,6,215,34374,
Sydney,35,SSMM55092,54,Female,18/08/2010,20/06/2012,1205,5463,4408,2697,215,3140,6,77,17128,
Melbourne,53,SSMM55093,50,Male,19/08/2010,13/07/2012,5805,22218,14704,11250,5387,1102,6,118,60466,
Perth,7,SSMM55094,66,Female,19/08/2010,10/07/2012,1183,2292,1350,2216,325,2725,6,260,10091,
Melbourne,45,SSMM55095,71,Female,19/08/2010,6/07/2012,248,1642,1777,3070,777,0,5,82,7514,
Melbourne,51,SSMM55096,68,Male,19/08/2010,5/07/2012,2317,3705,0,1023,32,0,4,7,7077,
Perth,12,SSMM55097,30,Female,19/08/2010,1/07/2012,0,4578,3538,1306,340,0,4,54,9762,
Perth,17,SSMM55098,61,Male,19/08/2010,26/05/2012,2226,0,310,634,113,106,5,43,3389,
Brisbane,79,SSMM55099,75,Female,19/08/2010,22/04/2012,2854,599,106,4681,828,0,5,112,9068,
Brisbane,83,SSMM55100,69,Female,19/08/2010,21/04/2012,0,251,1127,0,0,0,2,13,1378,
Sydney,24,SSMM55101,58,Female,20/08/2010,13/07/2012,5378,8565,5039,8157,3190,2292,6,191,32621,
Sydney,30,SSMM55102,47,Male,20/08/2010,8/07/2012,4091,392,1180,2866,1016,1852,6,185,11397,
Perth,17,SSMM55103,32,Male,20/08/2010,4/07/2012,3388,8154,12830,863,168,2317,6,99,27720,
Sydney,28,SSMM55104,41,Female,20/08/2010,4/07/2012,91,9247,1268,690,99,0,5,85,11395,
Brisbane,81,SSMM55105,70,Female,20/08/2010,2/07/2012,1108,2414,3808,606,220,606,6,227,8762,
Brisbane,70,SSMM55106,63,Male,20/08/2010,29/06/2012,370,1993,624,2496,494,0,5,44,5977,
Perth,6,SSMM55107,57,Male,20/08/2010,27/06/2012,3579,7828,6572,4333,808,401,6,178,23521,
Melbourne,55,SSMM55108,65,Female,20/08/2010,25/06/2012,2436,216,3086,2995,1104,2788,6,231,12625,
Perth,10,SSMM55109,54,Male,20/08/2010,14/06/2012,367,2094,747,1563,619,2019,6,64,7409,
Melbourne,56,SSMM55110,33,Female,20/08/2010,9/06/2012,0,1127,1089,0,0,0,2,59,2216,
Perth,10,SSMM55111,35,Male,20/08/2010,1/06/2012,942,521,0,147,70,1120,5,150,2800,
Perth,16,SSMM55112,73,Female,20/08/2010,15/04/2012,2282,675,2226,3092,1191,43,6,190,9509,
Melbourne,63,SSMM55113,67,Male,20/08/2010,20/09/2011,43,53,0,263,3,0,4,139,362,
Brisbane,82,SSMM55114,51,Female,21/08/2010,26/06/2012,1921,2358,3070,781,152,0,5,40,8282,
Sydney,27,SSMM55115,56,Female,21/08/2010,14/06/2012,436,0,314,1155,519,0,4,57,2424,
Melbourne,49,SSMM55116,46,Female,22/08/2010,12/07/2012,1161,6550,6886,4254,1445,91,6,258,20387,
Sydney,22,SSMM55117,52,Female,22/08/2010,8/07/2012,2543,2241,6053,772,197,5604,6,268,17410,
Melbourne,46,SSMM55118,50,Male,22/08/2010,6/07/2012,3039,8135,6358,4945,1539,1748,6,139,25764,
Melbourne,56,SSMM55119,56,Female,22/08/2010,5/07/2012,0,2263,1899,741,12,0,4,134,4915,
Sydney,35,SSMM55120,52,Female,22/08/2010,31/05/2012,361,1340,323,207,71,606,6,289,2908,
Perth,5,SSMM55121,47,Female,23/08/2010,12/07/2012,1664,5595,69,1315,584,0,5,24,9227,
Perth,18,SSMM55122,47,Male,23/08/2010,11/07/2012,0,558,2238,1007,133,0,4,178,3936,
Perth,16,SSMM55123,58,Female,23/08/2010,10/07/2012,2574,2263,458,734,212,2395,6,191,8636,
Brisbane,73,SSMM55124,66,Female,23/08/2010,27/06/2012,467,901,2813,1987,58,778,6,87,7004,
Sydney,34,SSMM55125,51,Female,23/08/2010,16/04/2012,1051,0,747,147,71,0,4,123,2016,
Brisbane,71,SSMM55126,34,Female,24/08/2010,12/07/2012,4531,1585,2929,1127,424,3899,6,78,14495,
Sydney,36,SSMM55127,56,Male,24/08/2010,2/07/2012,1742,335,7030,1943,83,1117,6,264,12250,
Sydney,23,SSMM55128,50,Female,24/08/2010,1/07/2012,4176,3956,8421,3708,1553,1931,6,223,23745,
Perth,19,SSMM55129,61,Female,24/08/2010,19/06/2012,5115,153,1095,477,206,433,6,23,7479,
Brisbane,75,SSMM55130,73,Female,24/08/2010,20/05/2012,1818,4697,759,106,47,935,6,182,8362,
Perth,13,SSMM55131,67,Female,24/08/2010,20/05/2012,0,0,562,797,245,3698,4,15,5302,
Melbourne,44,SSMM55132,61,Male,24/08/2010,17/04/2012,467,216,0,81,37,0,4,12,801,
Sydney,38,SSMM55133,45,Female,24/08/2010,1/04/2012,0,1183,0,963,153,1576,4,158,3875,
Brisbane,82,SSMM55134,54,Female,24/08/2010,23/12/2011,304,558,0,1337,389,405,5,53,2993,
Brisbane,70,SSMM55135,71,Female,24/08/2010,14/11/2011,2157,91,0,163,76,0,4,20,2487,
Perth,15,SSMM55136,59,Male,24/08/2010,29/08/2011,527,0,91,719,56,0,4,66,1393,
Perth,17,SSMM55137,47,Female,24/08/2010,1/08/2011,0,323,0,0,0,0,1,11,323,
Sydney,37,SSMM55138,72,Female,26/08/2010,26/06/2012,4468,4747,3670,4882,1720,449,6,138,19936,
Sydney,35,SSMM55139,26,Female,26/08/2010,12/06/2012,31,345,2593,1271,529,122,6,181,4891,
Melbourne,44,SSMM55140,69,Female,26/08/2010,24/05/2012,4584,216,1409,2442,348,373,6,3,9372,
Sydney,34,SSMM55141,41,Female,29/08/2010,4/07/2012,1199,3118,3356,913,8,3928,6,213,12522,
Brisbane,73,SSMM55142,54,Female,30/08/2010,5/07/2012,1337,7394,6399,7247,1749,0,5,103,24126,
Melbourne,48,SSMM55143,74,Male,30/08/2010,23/06/2012,9350,3001,6823,276,117,467,6,14,20034,
Sydney,37,SSMM55144,42,Male,3/09/2010,8/04/2012,0,0,310,91,20,0,3,52,421,
Melbourne,50,SSMM55145,55,Male,5/09/2010,12/05/2012,75,810,2188,232,89,1915,6,37,5309,
Perth,13,SSMM55146,46,Female,6/09/2010,12/07/2012,7985,1814,3494,3121,1248,1683,6,5,19345,
Brisbane,76,SSMM55147,55,Male,6/09/2010,25/06/2012,4832,4710,1309,1664,760,524,6,177,13799,
Sydney,38,SSMM55148,63,Male,6/09/2010,18/05/2012,0,0,0,131,35,0,2,77,166,
Brisbane,80,SSMM55149,41,Female,6/09/2010,24/04/2012,1463,1023,938,1601,239,182,6,225,5446,
Perth,8,SSMM55150,61,Female,7/09/2010,29/06/2012,310,213,2125,216,38,4524,6,277,7426,
Sydney,26,SSMM55151,42,Male,7/09/2010,28/06/2012,248,2132,2471,2169,161,0,5,81,7181,
Sydney,24,SSMM55152,73,Female,10/09/2010,29/06/2012,8082,1959,0,1089,239,0,4,102,11369,
Sydney,36,SSMM55153,35,Female,10/09/2010,13/12/2011,182,0,0,0,0,0,1,2,182,
Brisbane,71,SSMM55154,71,Female,11/09/2010,17/06/2012,2694,0,0,254,45,0,3,114,2993,
Melbourne,61,SSMM55155,53,Male,13/09/2010,1/07/2012,5793,1372,2075,401,84,0,5,153,9725,
Brisbane,81,SSMM55156,29,Male,16/09/2010,30/06/2012,150,2373,59,160,66,0,5,115,2808,
Perth,14,SSMM55157,43,Female,17/09/2010,11/06/2012,0,226,125,508,104,282,5,16,1245,
Brisbane,83,SSMM55158,68,Female,18/09/2010,26/06/2012,979,3089,1249,329,133,1193,6,6,6972,
Sydney,38,SSMM55159,41,Female,19/09/2010,8/07/2012,838,715,1620,2725,313,370,6,85,6581,
Sydney,39,SSMM55160,62,Female,19/09/2010,1/07/2012,2832,951,558,527,131,4857,6,69,9856,
Melbourne,50,SSMM55161,46,Male,21/09/2010,9/07/2012,100,235,2342,2292,1016,0,5,204,5985,
Sydney,26,SSMM55162,54,Female,21/09/2010,18/06/2012,2091,329,467,1017,77,0,5,97,3981,
Sydney,32,SSMM55163,65,Female,22/09/2010,11/07/2012,653,332,310,169,77,1679,6,209,3220,
Sydney,27,SSMM55164,62,Female,24/09/2010,12/03/2012,0,244,0,0,0,624,2,23,868,
Sydney,42,SSMM55165,28,Female,25/09/2010,8/06/2012,1510,624,0,116,23,533,5,5,2806,
Melbourne,55,SSMM55166,28,Female,25/09/2010,26/01/2012,307,0,0,775,242,138,4,55,1462,
Perth,4,SSMM55167,69,Female,28/09/2010,28/05/2012,351,191,938,323,34,0,5,203,1837,
Perth,15,SSMM55168,68,Female,29/09/2010,18/06/2012,1836,216,2813,496,248,574,6,245,6183,
Perth,8,SSMM55169,53,Female,29/09/2010,30/05/2012,109,0,3557,1293,236,0,4,167,5195,
Perth,16,SSMM55170,56,Female,30/09/2010,11/07/2012,94,1425,0,370,24,263,5,19,2176,
Melbourne,57,SSMM55171,28,Female,1/10/2010,30/06/2012,1739,2295,122,3334,427,527,6,113,8444,
Perth,11,SSMM55172,50,Female,1/10/2010,12/05/2012,3174,4656,1482,1497,615,1130,6,2,12554,
Brisbane,71,SSMM55173,26,Male,2/10/2010,13/07/2012,1299,810,1500,524,235,0,5,20,4368,
Perth,3,SSMM55174,71,Male,4/10/2010,24/05/2012,323,1362,527,0,0,0,3,21,2212,
Sydney,34,SSMM55175,66,Female,4/10/2010,1/01/2012,72,31,624,1007,407,1026,6,210,3167,
Perth,20,SSMM55176,71,Female,7/10/2010,4/06/2012,153,1073,2468,0,0,1372,4,74,5066,
Perth,5,SSMM55177,52,Male,8/10/2010,21/04/2012,91,87,938,474,211,0,5,139,1801,
Sydney,41,SSMM55178,41,Female,9/10/2010,5/07/2012,0,0,938,0,0,0,1,48,938,
Melbourne,59,SSMM55179,64,Female,10/10/2010,13/07/2012,1717,885,1843,222,99,7357,6,83,12123,
Sydney,29,SSMM55180,62,Female,11/10/2010,2/06/2012,4031,904,4493,4559,1223,3441,6,174,18651,
Sydney,36,SSMM55181,66,Female,12/10/2010,2/02/2012,671,2549,467,0,0,0,3,36,3687,
Perth,2,SSMM55182,67,Female,14/10/2010,24/06/2012,0,1683,1343,153,3,1215,5,197,4397,
Melbourne,50,SSMM55183,58,Female,15/10/2010,26/06/2012,866,1874,1007,1990,479,1055,6,100,7271,
Melbourne,54,SSMM55184,45,Male,16/10/2010,1/07/2012,857,4135,7608,1598,357,0,5,107,14555,
Melbourne,44,SSMM55185,65,Male,16/10/2010,12/06/2012,785,295,763,157,68,2945,6,59,5013,
Brisbane,69,SSMM55186,60,Male,16/10/2010,12/11/2011,18,835,1095,216,17,91,6,239,2272,
Sydney,32,SSMM55187,63,Male,17/10/2010,31/05/2012,0,232,1504,0,0,574,3,146,2310,
Perth,19,SSMM55188,38,Male,18/10/2010,12/07/2012,1686,3334,2700,81,24,703,6,261,8528,
Perth,5,SSMM55189,44,Male,22/10/2010,9/07/2012,1007,1808,1218,709,8,794,6,189,5544,
Melbourne,60,SSMM55190,16,Female,23/10/2010,5/07/2012,0,59,0,3862,86,0,3,88,4007,
Melbourne,44,SSMM55191,46,Male,23/10/2010,30/06/2012,756,7919,7344,3934,1783,329,6,213,22065,
Brisbane,65,SSMM55192,49,Male,23/10/2010,3/04/2012,0,0,935,0,0,960,2,81,1895,
Brisbane,66,SSMM55193,53,Male,25/10/2010,31/10/2011,0,91,0,0,0,0,1,21,91,
Sydney,40,SSMM55194,48,Male,28/10/2010,29/06/2012,9350,6201,885,100,44,3111,6,205,19691,
Melbourne,47,SSMM55195,41,Female,30/10/2010,27/06/2012,0,4207,1218,1874,458,0,4,166,7757,
Sydney,35,SSMM55196,43,Female,5/11/2010,12/03/2012,0,0,248,665,317,0,3,85,1230,
Brisbane,75,SSMM55197,61,Female,5/11/2010,14/10/2011,0,0,0,0,0,405,1,1,405,
Sydney,22,SSMM55198,69,Male,8/11/2010,30/06/2012,4970,1573,4166,3077,286,3689,6,131,17761,
Brisbane,69,SSMM55199,71,Male,11/11/2010,21/02/2012,0,1362,0,0,0,0,1,15,1362,
Perth,14,SSMM55200,46,Female,12/11/2010,28/06/2012,1089,979,1343,2728,264,464,6,218,6867,
Melbourne,45,SSMM55201,59,Female,12/11/2010,23/06/2012,1243,449,1092,2596,180,850,6,158,6410,
Brisbane,66,SSMM55202,59,Female,16/11/2010,19/05/2012,565,2285,1497,285,61,2204,6,106,6897,
Sydney,29,SSMM55203,55,Female,22/11/2010,7/06/2012,1931,163,872,1504,292,0,5,127,4762,
Brisbane,66,SSMM55204,45,Female,24/11/2010,1/04/2012,59,5714,1092,1836,555,0,5,100,9256,
Sydney,23,SSMM55205,54,Male,30/11/2010,10/04/2012,621,270,0,1026,197,0,4,129,2114,
Brisbane,69,SSMM55206,55,Male,2/12/2010,15/04/2012,1846,2876,310,238,24,292,6,156,5586,
Sydney,37,SSMM55207,62,Male,3/12/2010,29/05/2012,4421,471,1431,373,171,1777,6,49,8644,
Brisbane,84,SSMM55208,44,Male,5/12/2010,2/04/2012,0,310,0,0,0,0,1,16,310,
Perth,10,SSMM55209,39,Female,6/12/2010,9/07/2012,709,1541,310,0,0,0,3,90,2560,
Melbourne,59,SSMM55210,53,Female,9/12/2010,26/05/2012,747,1265,546,153,55,0,5,90,2766,
Perth,9,SSMM55211,73,Female,10/12/2010,13/07/2012,241,778,1186,3303,473,0,5,98,5981,
Perth,18,SSMM55212,50,Female,11/12/2010,13/07/2012,3278,467,5240,449,90,122,6,12,9646,
Brisbane,78,SSMM55213,58,Female,11/12/2010,27/06/2012,2395,4282,1152,295,70,838,6,190,9032,
Perth,6,SSMM55214,62,Female,12/12/2010,21/04/2012,1488,2584,1372,514,79,138,6,17,6175,
Melbourne,59,SSMM55215,60,Male,13/12/2010,27/06/2012,1356,533,2468,2207,179,756,6,253,7499,
Perth,20,SSMM55216,49,Female,13/12/2010,5/06/2012,2323,4304,449,1956,864,1422,6,100,11318,
Sydney,32,SSMM55217,68,Male,14/12/2010,13/04/2012,1202,0,0,0,0,0,1,45,1202,
Perth,6,SSMM55218,67,Male,14/12/2010,30/01/2012,467,0,0,0,0,0,1,28,467,
Sydney,30,SSMM55219,63,Female,15/12/2010,9/07/2012,15665,2398,3086,2270,1095,4625,6,30,29139,
Perth,13,SSMM55220,71,Female,15/12/2010,25/06/2012,3727,1312,91,2006,285,59,6,225,7480,
Perth,10,SSMM55221,53,Male,15/12/2010,7/03/2012,1252,794,499,78,4,687,6,270,3314,
Brisbane,77,SSMM55222,64,Female,17/12/2010,27/02/2012,273,0,3061,405,20,3978,5,207,7737,
Melbourne,58,SSMM55223,74,Female,18/12/2010,25/06/2012,4634,354,59,5250,362,0,5,176,10659,
Melbourne,52,SSMM55224,42,Male,20/12/2010,30/05/2012,0,1350,1117,2474,764,0,4,82,5705,
Sydney,32,SSMM55225,65,Male,20/12/2010,25/10/2011,0,1937,0,0,0,0,1,25,1937,
Brisbane,81,SSMM55226,45,Female,21/12/2010,13/07/2012,0,298,0,1755,755,0,3,52,2808,
Perth,10,SSMM55227,52,Female,21/12/2010,23/06/2012,37,2625,938,4675,2017,0,5,29,10292,
Brisbane,65,SSMM55228,73,Female,21/12/2010,8/06/2012,0,2461,2552,1949,713,0,4,85,7675,
Melbourne,51,SSMM55229,57,Male,24/12/2010,21/06/2012,624,0,6458,47,20,210,5,9,7359,
Sydney,37,SSMM55230,54,Female,25/12/2010,23/06/2012,0,649,2188,128,41,681,5,203,3687,
Perth,9,SSMM55231,50,Female,28/12/2010,24/06/2012,0,1943,279,370,85,467,5,37,3144,
Melbourne,57,SSMM55232,65,Female,28/12/2010,17/02/2012,248,307,1026,2106,429,678,6,119,4794,
Brisbane,80,SSMM55233,29,Male,29/12/2010,27/06/2012,471,5397,2766,2141,947,719,6,143,12441,
Perth,7,SSMM55234,36,Male,30/12/2010,20/06/2012,467,7438,4314,3315,520,0,5,144,16054,
Melbourne,45,SSMM55235,22,Male,31/12/2010,22/05/2012,0,967,967,0,0,0,2,95,1934,
Perth,2,SSMM55236,63,Male,1/01/2011,8/07/2012,75,2637,1657,486,217,1730,6,109,6802,
Sydney,33,SSMM55237,50,Female,1/01/2011,28/06/2012,2053,587,7099,1095,149,2119,6,71,13102,
Perth,15,SSMM55238,63,Male,2/01/2011,25/06/2012,2072,1576,3118,518,205,2634,6,94,10123,
Brisbane,83,SSMM55239,65,Female,2/01/2011,24/06/2012,2477,4559,628,1978,550,3011,6,207,13203,
Melbourne,60,SSMM55240,62,Male,3/01/2011,9/07/2012,2267,3391,5457,1717,384,1868,6,269,15084,
Sydney,33,SSMM55241,20,Female,3/01/2011,9/04/2012,75,5787,0,1284,589,527,5,4,8262,
Sydney,37,SSMM55242,60,Female,4/01/2011,22/05/2012,938,2439,3771,1497,622,649,6,175,9916,
Melbourne,61,SSMM55243,40,Female,4/01/2011,12/04/2012,191,1679,0,348,127,4022,5,245,6367,
Sydney,35,SSMM55244,51,Female,5/01/2011,20/06/2012,332,75,1852,0,0,1149,4,59,3408,
Sydney,23,SSMM55245,54,Female,7/01/2011,12/07/2012,1309,2747,131,282,101,0,5,145,4570,
Perth,12,SSMM55246,51,Female,7/01/2011,7/07/2012,2618,2898,5947,3560,18,464,6,120,15505,
Brisbane,72,SSMM55247,42,Male,7/01/2011,31/05/2012,87,301,0,1036,328,0,4,112,1752,
Brisbane,72,SSMM55248,49,Female,7/01/2011,22/08/2011,0,0,0,351,106,0,2,23,457,
